Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Joe,http://ufcstats.com/fighter-details/654ae722109a0d31,Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0
Jack,http://ufcstats.com/fighter-details/cea51876d8a514a0,Duffy,The Fury,"5' 7""",125 lbs.,"69.0""",Switch,7,1,0
Alexis,http://ufcstats.com/fighter-details/4ae4049426e0161d,Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0
Jessamyn,http://ufcstats.com/fighter-details/a7ddae0be8b78147,Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0
Islam,http://ufcstats.com/fighter-details/e803242fb2e41112,Dulatov,The Ripper,"6' 3""",170 lbs.,"75.0""",Orthodox,11,1,0
Isaac,http://ufcstats.com/fighter-details/a57cb948c4c70a47,Dulgarian,The Midwest Choppa,"5' 7""",145 lbs.,"71.0""",Orthodox,7,1,0
Kelly,http://ufcstats.com/fighter-details/1a225f04aa6e0739,Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0
Sedriques,http://ufcstats.com/fighter-details/4e6738062d469256,Dumas,The Reaper,"6' 2""",185 lbs.,"79.0""",Orthodox,10,3,0
Norma,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,Dumont,The Immortal,"5' 7""",135 lbs.,"67.0""",Orthodox,12,2,0
Chris,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,Duncan,The Problem,"5' 10""",155 lbs.,"71.0""",Orthodox,13,2,0
Christian Leroy,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,Duncan,CLD,"6' 2""",185 lbs.,"79.0""",Switch,11,2,0
Evan,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,Dunham,,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1
Alex,http://ufcstats.com/fighter-details/31732a614e7a3d1d,Dunworth,,"5' 8""",155 lbs.,--,,2,2,0
Tom,http://ufcstats.com/fighter-details/e979c76341f19b22,Duquesnoy,Fire Kid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0
Albert,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,Duraev,,"5' 11""",185 lbs.,"75.0""",Orthodox,16,5,0
Reuben,http://ufcstats.com/fighter-details/4417980b3e798abf,Duran,,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1
Cody,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,Durden,Custom Made,"5' 7""",125 lbs.,"67.0""",Southpaw,17,7,1
Luiz,http://ufcstats.com/fighter-details/2153a7f8396a46cc,Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,13,6,1
Rilley,http://ufcstats.com/fighter-details/43db649da89fac4b,Dutro,,"5' 8""",125 lbs.,--,Orthodox,11,4,0
Bill,http://ufcstats.com/fighter-details/7df4d3c38792b083,Duvall,,"6' 2""",185 lbs.,--,Southpaw,1,2,0
Merab,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,Dvalishvili,The Machine,"5' 6""",135 lbs.,"68.0""",Orthodox,19,4,0
David,http://ufcstats.com/fighter-details/9ada30894bf04e19,Dvorak,Undertaker,"5' 5""",125 lbs.,"68.0""",Orthodox,20,6,0
Matt,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0
Rolando,http://ufcstats.com/fighter-details/55ed59d541f8b90c,Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1
Ben,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0
Cody,http://ufcstats.com/fighter-details/5713c1d2fac539ac,East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0
Marvin,http://ufcstats.com/fighter-details/05866d8c3a321856,Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1
Mike,http://ufcstats.com/fighter-details/bc7230f231701d66,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0
Maurice,http://ufcstats.com/fighter-details/4acb99524a9a81ab,Eazel,,"5' 7""",135 lbs.,--,,7,15,0
Vincent,http://ufcstats.com/fighter-details/ec421d5de0aea624,Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0
Ross,http://ufcstats.com/fighter-details/a5b0bd216d8ba84e,Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0
Brian,http://ufcstats.com/fighter-details/32ba186f4b0e3267,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1
Roybert,http://ufcstats.com/fighter-details/20b13e96668caaa4,Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,7,1,0
Mark,http://ufcstats.com/fighter-details/40ff198adda94b9f,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0
Frankie,http://ufcstats.com/fighter-details/f2688492b9a525a3,Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,11,1
Abdul-Kerim,http://ufcstats.com/fighter-details/37e03538c960bac6,Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0
Johnny,http://ufcstats.com/fighter-details/528c24b99fbaab79,Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0
Yves,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1
Justin,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0
Leon,http://ufcstats.com/fighter-details/f1fac969a1d70b08,Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,22,5,0
Te,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0
Adli,http://ufcstats.com/fighter-details/e6904a03a66e711d,Edwards,,--,145 lbs.,--,,4,1,0
Joselyne,http://ufcstats.com/fighter-details/f9ab66e67240db7b,Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,15,6,0
Tom,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01,Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0
Stephanie,http://ufcstats.com/fighter-details/5e6294b37bbef029,Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
Justin,http://ufcstats.com/fighter-details/27fc9218a3653e3c,Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1
Jon Olav,http://ufcstats.com/fighter-details/0577808d22dfe79c,Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0
Per,http://ufcstats.com/fighter-details/58bc81376286b3d3,Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1
John,http://ufcstats.com/fighter-details/22d80fb67e50ab0b,Elam,,--,--,--,,2,0,0
Evan,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,Elder,The Phenom,"5' 10""",155 lbs.,"72.0""",Switch,10,2,0
Billy,http://ufcstats.com/fighter-details/07a74004d964c7f4,Elekana,Son of Susie,"6' 3""",205 lbs.,"77.0""",Southpaw,7,2,0
John Paul,http://ufcstats.com/fighter-details/e873203fd50542f6,Elias,,"6' 4""",205 lbs.,--,,3,1,0
Joao,http://ufcstats.com/fighter-details/1a064688481f66e1,Elias,Alicate,"5' 3""",125 lbs.,"64.0""",Southpaw,17,4,1
Saul,http://ufcstats.com/fighter-details/e295b96f135d758a,Elizondo,,"5' 7""",135 lbs.,--,,6,8,0
Darren,http://ufcstats.com/fighter-details/92a9aa9c93192871,Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,29,12,0
Jake,http://ufcstats.com/fighter-details/d81ac739417d7f53,Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0
Joe,http://ufcstats.com/fighter-details/8e8e4487c621aa1c,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0
Tim,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,21,13,1
Oban,http://ufcstats.com/fighter-details/6b56e94a59b7b134,Elliott,The Welsh Gangster,"6' 0""",170 lbs.,"72.0""",Orthodox,12,2,0
Eddy,http://ufcstats.com/fighter-details/e60d773a0a42048a,Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1
Lisa,http://ufcstats.com/fighter-details/77350fd0e6d1dba8,Ellis,,"5' 4""",115 lbs.,--,,15,11,0
Anna,http://ufcstats.com/fighter-details/1536a25e16fc299b,Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0
Cameron,http://ufcstats.com/fighter-details/5f3da9a9610d8969,Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,6,0
Aaron,http://ufcstats.com/fighter-details/1741343f0ca34dd5,Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0
Sovannahry,http://ufcstats.com/fighter-details/45c8fed13a62fe92,Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0
Ramazan,http://ufcstats.com/fighter-details/abd5fb12437eda21,Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,6,0
Aleksander,http://ufcstats.com/fighter-details/f54200f1dfb9b5d4,Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0
Fedor,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15,Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0
Rob,http://ufcstats.com/fighter-details/dc0f07928009a127,Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0
Jamall,http://ufcstats.com/fighter-details/e00a3dee329a51f7,Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,21,8,0
Josh,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,Emmett,CC0,"5' 6""",145 lbs.,"70.0""",Orthodox,19,5,0
Marius,http://ufcstats.com/fighter-details/e3f443e4cbc3da8f,Enache,,"5' 11""",155 lbs.,--,,3,3,0
Kevin,http://ufcstats.com/fighter-details/d2f310b5b072e986,Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0
Kolton,http://ufcstats.com/fighter-details/4122da4f791b2f4f,Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0
Oliver,http://ufcstats.com/fighter-details/330bafba312face4,Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0
Alex,http://ufcstats.com/fighter-details/d238217e0f8ea8e1,Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0
Kenny,http://ufcstats.com/fighter-details/daf9be103c1edbbd,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0
Ian,http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8,Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0
Andy,http://ufcstats.com/fighter-details/993d385f5a475375,Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0
Won Jin,http://ufcstats.com/fighter-details/bc7cf284c1c2f16e,Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1
Yuji Yannick,http://ufcstats.com/fighter-details/919fc4bc3edf4de7,Ephieviga,,--,155 lbs.,--,,11,0,0
Josh,http://ufcstats.com/fighter-details/984b0c4c6e773a1c,Epps,,--,130 lbs.,--,,6,7,0
Abdellah,http://ufcstats.com/fighter-details/b593cd58b0afffb0,Er-Ramy,The Golden Boy,"6' 0""",185 lbs.,"74.0""",Orthodox,7,2,0
Steve,http://ufcstats.com/fighter-details/32ab52e5de93092d,Erceg,Astroboy,"5' 8""",125 lbs.,"68.0""",Orthodox,12,4,0
Tom,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1
Konstantin,http://ufcstats.com/fighter-details/22061ff217907c78,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0
Julian,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,31,12,0
Jarno,http://ufcstats.com/fighter-details/082eba4cd80f736f,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,14,6,1
Ivan,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb,Erslan,,"6' 2""",205 lbs.,"72.0""",Orthodox,14,4,0
Nick,http://ufcstats.com/fighter-details/74061adb224be3cc,Ertl,,"5' 9""",155 lbs.,--,,8,6,0
Chel,http://ufcstats.com/fighter-details/c26ea30823f37316,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0
Bobby,http://ufcstats.com/fighter-details/f7ede18b4ec4ec1f,Escalante,,--,130 lbs.,--,,5,6,0
Eric,http://ufcstats.com/fighter-details/0e4daed84a8f39a6,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1
Pro,http://ufcstats.com/fighter-details/b36874652ed7715d,Escobedo,,--,205 lbs.,--,,1,0,0
Cole,http://ufcstats.com/fighter-details/5df17b3620145578,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0
Efrain,http://ufcstats.com/fighter-details/83fd97284f4bb4a4,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0
Evan,http://ufcstats.com/fighter-details/ed220e87bef0cc64,Esguerra,,--,145 lbs.,--,,8,7,0
Carla,http://ufcstats.com/fighter-details/d910665038efc639,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,8,0
Juan,http://ufcstats.com/fighter-details/ccf5dc41417e9daf,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0
Jordan,http://ufcstats.com/fighter-details/215a70f073a7b726,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0
Jodie,http://ufcstats.com/fighter-details/411539901068522f,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0
Rafael,http://ufcstats.com/fighter-details/83455a9d17f57dae,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,13,0,0
Achilles,http://ufcstats.com/fighter-details/41f3cfdab0b22236,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0
Shaun,http://ufcstats.com/fighter-details/ea9bfe9c25037bba,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0
Terry,http://ufcstats.com/fighter-details/33011768c3c4dc9a,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0
Fred,http://ufcstats.com/fighter-details/8d5daf67983b65ba,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0
Scott,http://ufcstats.com/fighter-details/74b5736f1df40be3,Ettling,,--,135 lbs.,--,,4,2,0
Sijara,http://ufcstats.com/fighter-details/4234f0097c83fa62,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0
Billy,http://ufcstats.com/fighter-details/9766ed20b68c7c33,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0
Rashad,http://ufcstats.com/fighter-details/ee779c43a8926d52,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1
Doug,http://ufcstats.com/fighter-details/d3de4a24f7eefac8,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0
Ashlee,http://ufcstats.com/fighter-details/fc6e681bf6658faf,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0
Dan,http://ufcstats.com/fighter-details/dd8aec6de7035943,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0
Tonya,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0
Movsar,http://ufcstats.com/fighter-details/76e2870ffafbe38f,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,19,0,0
Andre,http://ufcstats.com/fighter-details/5f6f049d54728e88,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0
Neal,http://ufcstats.com/fighter-details/0798f558681d0eb5,Ewing,,--,185 lbs.,--,,6,0,0
Manuel,http://ufcstats.com/fighter-details/a1cb266d7f44f35f,Exposito,,--,145 lbs.,--,,13,2,0
Jessica,http://ufcstats.com/fighter-details/f72465a784c1b084,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0
Edward,http://ufcstats.com/fighter-details/6224e8d0a34264eb,Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5,0
Urijah,http://ufcstats.com/fighter-details/78114b7199cef90c,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0
Melinda,http://ufcstats.com/fighter-details/8c020156779f7888,Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2
Wagnney,http://ufcstats.com/fighter-details/40389d39a92f5bfa,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0
Bartosz,http://ufcstats.com/fighter-details/e17ac6410c8377f4,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0
Ron,http://ufcstats.com/fighter-details/453ee00c3e1ae9dd,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0
Jason,http://ufcstats.com/fighter-details/adea9f0090aa8e14,Fairn,,"6' 1""",230 lbs.,--,,4,5,0
Zarah,http://ufcstats.com/fighter-details/862b0b3375aa4b6e,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0
Rinat,http://ufcstats.com/fighter-details/8f765fd5775a8873,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,23,1,1
Maiquel,http://ufcstats.com/fighter-details/d58478ded5534695,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0
Pedro,http://ufcstats.com/fighter-details/f7be1db194e03d7e,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,16,5,0
Brodie,http://ufcstats.com/fighter-details/91d73ee59347ac16,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0
Joao Paulo,http://ufcstats.com/fighter-details/04e9955f33e0c267,Faria,,"5' 9""",155 lbs.,--,,1,1,0
Kalindra,http://ufcstats.com/fighter-details/27b164b0d1833df0,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1
Jair,http://ufcstats.com/fighter-details/431262bbc69215dc,Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0
Chance,http://ufcstats.com/fighter-details/49c7236c737d7e59,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0
Rico,http://ufcstats.com/fighter-details/f89e6e66b9b112de,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0
Kelly,http://ufcstats.com/fighter-details/9c42a0de8e012870,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0
Rodney,http://ufcstats.com/fighter-details/5af26b3201690d29,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3
Paul,http://ufcstats.com/fighter-details/e5010b1b94ca5755,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0
Carlos,http://ufcstats.com/fighter-details/a2ea77e974c5889f,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0
JP,http://ufcstats.com/fighter-details/954e3f4e2b0e6510,Felty,,--,170 lbs.,--,,4,5,0
Feng,http://ufcstats.com/fighter-details/86597694317e5e1b,Pengchao,,--,135 lbs.,--,,15,9,1
Feng,http://ufcstats.com/fighter-details/c940b42df95bbd28,Xiaocan,,"5' 7""",115 lbs.,"66.0""",Southpaw,10,3,0
Kevin,http://ufcstats.com/fighter-details/27541033b97c076d,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0
Rhadi,http://ufcstats.com/fighter-details/15f4550e017f6c7d,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0
Tony,http://ufcstats.com/fighter-details/22a92d7f62195791,Ferguson,El Cucuy,"5' 11""",170 lbs.,"76.0""",Orthodox,26,11,0
Josh,http://ufcstats.com/fighter-details/b0f316c60f8d3b47,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0
CJ,http://ufcstats.com/fighter-details/979f7edbb6980b0d,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3
Bibiano,http://ufcstats.com/fighter-details/cbc071cb20ea59c7,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0
Gabriella,http://ufcstats.com/fighter-details/a6eb54ae17a551be,Fernandes,Gabi,"5' 6""",125 lbs.,"66.0""",Southpaw,10,3,0
Kaue,http://ufcstats.com/fighter-details/ec13c393d029297d,Fernandes,,"5' 9""",155 lbs.,"73.0""",Orthodox,10,2,0
Emily,http://ufcstats.com/fighter-details/7ee1babb99f30115,Fernandez,,--,--,--,,0,0,0
Lucas,http://ufcstats.com/fighter-details/3df223aeaacecf3f,Fernando,,"6' 3""",185 lbs.,"80.0""",,9,2,0
Alexandre,http://ufcstats.com/fighter-details/28ba5f27e473420c,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0
Cezar,http://ufcstats.com/fighter-details/dbc17725b887860a,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0
Diego,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,19,6,0
Erisson,http://ufcstats.com/fighter-details/1c2a8915f8431507,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0
Brunno,http://ufcstats.com/fighter-details/1e719d4b676dc19a,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,13,2,0
Scott,http://ufcstats.com/fighter-details/977081bc01197656,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0
Timo,http://ufcstats.com/fighter-details/8c21eb9fd7c4c203,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0
Andre,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0
Drew,http://ufcstats.com/fighter-details/d814f5192e58fb2f,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0
Scott,http://ufcstats.com/fighter-details/0ec821423baa26bd,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0
Ron,http://ufcstats.com/fighter-details/6e380a4d73ab4f0e,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1
Michal,http://ufcstats.com/fighter-details/b4c57a8c2b773e82,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,2,0
Deiveson,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,24,5,1
Francisco,http://ufcstats.com/fighter-details/cdadae5363b66eef,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1
Anthony,http://ufcstats.com/fighter-details/daff32bc96d1eabf,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1
Edwin,http://ufcstats.com/fighter-details/bbfca6d5c27d9cd8,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0
Paulo,http://ufcstats.com/fighter-details/2abdead94ce73552,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3
Jafel,http://ufcstats.com/fighter-details/65adf3856c4d9256,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,16,3,0
Andre,http://ufcstats.com/fighter-details/8fd808923cffff82,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,24,12,0
Mirko,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2
Brady,http://ufcstats.com/fighter-details/997b4f52f76a0b53,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0
Jesse,http://ufcstats.com/fighter-details/0496cdac0bc9edd8,Finney,,"6' 0""",170 lbs.,--,,5,1,0
Jan,http://ufcstats.com/fighter-details/3317823959d32a05,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0
Torrez,http://ufcstats.com/fighter-details/fbb60f24af5d5a02,Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,11,0,0
Luigi,http://ufcstats.com/fighter-details/9583662df31d943f,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0
Nick,http://ufcstats.com/fighter-details/036e96c1c12b8a59,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0
Manon,http://ufcstats.com/fighter-details/34ff304266360297,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,12,1,0
Luiz,http://ufcstats.com/fighter-details/16d09e800ad7ec79,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0
Spencer,http://ufcstats.com/fighter-details/f34312c2ccfa0e00,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0
Chris,http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1
Bryanna,http://ufcstats.com/fighter-details/5517bd590dbbe1f8,Fissori,,"5' 4""",145 lbs.,--,,2,4,0
Jon,http://ufcstats.com/fighter-details/6f018c039b4d5d80,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1
Isi,http://ufcstats.com/fighter-details/b8dc5fbf8338adc5,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0
Rafael,http://ufcstats.com/fighter-details/c814b4c899793af6,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,4,0
Colin,http://ufcstats.com/fighter-details/7d09200f6a77b20e,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0
AJ,http://ufcstats.com/fighter-details/725b1abc9a39d873,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0
Nathan,http://ufcstats.com/fighter-details/a2d342ffc83913ed,Fletcher,,"5' 7""",135 lbs.,"70.0""",Orthodox,9,2,0
Jimmy,http://ufcstats.com/fighter-details/09e62c450e754913,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,9,0
Luke,http://ufcstats.com/fighter-details/b5f44dcb863f595b,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0
Ty,http://ufcstats.com/fighter-details/4bb0f74d5e26f89a,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0
Alejandro,http://ufcstats.com/fighter-details/d23d5960ac5e117c,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0
Kenny,http://ufcstats.com/fighter-details/cb139171ed1b69fe,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0
Darrius,http://ufcstats.com/fighter-details/65db4065e2bc107d,Flowers,Beast Mode,"5' 9""",155 lbs.,"71.0""",Orthodox,12,8,1
Cody,http://ufcstats.com/fighter-details/8164250600b7c91b,Floyd,,--,--,--,,2,0,0
